wgs	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
K06069: atypical protein kinase C	0.035	0.132	0.154	0.26	0.53	0.405	4.48e-13	0.0223	3.94e-14	1.35e-07	0.381	0.715	4.83355675675676e-12	0.0860748890298034	1.04591277802006e-13	3.21370746969104e-07	0.9956866689993	1	0.363	0.375
K06068: novel protein kinase C	0.035	0.11	0.195	0.259	0.59	0.418	3.06e-16	0.000829	2.81e-14	1.23e-08	0.451	1	4.66022608695652e-14	0.00798437183544304	8.48839406207827e-14	3.10664315352697e-08	0.9956866689993	1	0.436	0.436
K14451	0.047	0.063	0.082	0.075	0	0	1.96e-07	0.0262	0.0154	0.000135	0.917	0.000702	6.25445243804956e-07	0.0971842778793419	0.020250550874919	0.000247439024390244	0.9956866689993	0.0122437650429799	0.177	0.385
K06391: stage III sporulation protein AB	0.548	0.532	0.513	0.601	0	0	0.00063	0.945	0.00032	0.00473	0.0283	1	0.00106161249472351	1	0.000497405515832482	0.00712837583560287	0.9956866689993	1	0.129	0.129
K06390: stage III sporulation protein AA	1.408	0.365	1.168	0.604	0	0	<2e-16	0.0176	1.89e-15	3.03e-14	0.717	1	NA	0.0724348884381339	7.47526315789474e-15	1.24061143984221e-13	0.9956866689993	1	0.54	0.54
K06393: stage III sporulation protein AD	1.013	0.642	0.979	0.714	0.103	0.41	2.87e-07	0.965	1.22e-06	6.34e-05	0.256	0.213	8.91598443579767e-07	1	2.23141225961538e-06	0.000119700930521092	0.9956866689993	0.477367820324006	0.204	0.315
K06392: stage III sporulation protein AC	1.398	0.69	1.079	0.903	0	0	1.11e-11	0.0897	3.93e-11	7.9e-06	0.693	0.000939	7.95533213644524e-11	0.237289830508475	9.11310857142857e-11	1.62842194378598e-05	0.9956866689993	0.0149552663185379	0.304	0.513
K06395: stage III sporulation protein AF	0.461	0.511	0.41	0.483	0	0	0.00158	0.875	0.00137	0.0189	0.422	0.475	0.0024609285992977	1	0.00201624516441006	0.0260753173164098	0.9956866689993	0.78954806116876	0.093	0.16
K06394: stage III sporulation protein AE	0.964	0.433	0.971	0.39	0.089	0.355	1.58e-11	0.996	5.25e-12	1.3e-09	0.855	0.346	1.08747586206897e-10	1	1.26311264822134e-11	3.5357908847185e-09	0.9956866689993	0.649630475015422	0.316	0.388
K06397: stage III sporulation protein AH	1.166	0.505	0.868	0.729	0.099	0.396	3.25e-11	0.0312	7.67e-11	4.33e-05	0.34	0.0388	2.08921095008052e-10	0.110031517960603	1.74597195213164e-10	8.31704323130325e-05	0.9956866689993	0.166438054968288	0.316	0.422
K06396: stage III sporulation protein AG	0.849	0.583	0.855	0.631	0	0	1.88e-07	0.999	3.3e-07	9.69e-06	0.617	0.497	6.04264090177134e-07	1	6.23435754189944e-07	1.97664309651475e-05	0.9956866689993	0.811273531777957	0.207	0.268
K06399: stage IV sporulation protein B	1.331	0.393	1.092	0.526	0	0	<2e-16	0.0175	3.44e-15	6.58e-14	0.826	0.102	NA	0.072316700610998	1.26597823458283e-14	2.41425316455696e-13	0.9956866689993	0.301834710743802	0.537	0.613
K06398: stage IV sporulation protein A	1.557	0.354	1.339	0.524	0.121	0.332	<2e-16	0.0281	1.67e-15	2.85e-14	0.846	0.109	NA	0.10223831440526	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.315643672692674	0.571	0.635
K11078: mannopine transport system permease protein	0.012	0.022	0.016	0.028	0	0	0.000962	0.632	0.121	0.0554	0.636	1.39e-05	0.00155919772634998	0.910313298627544	0.140800420569681	0.0707701573976915	0.9956866689993	0.00122622173913043	0.068	0.448
K11079: mannopine transport system permease protein	0.044	0.04	0.035	0.031	0.008	0.031	0.00183	0.496	0.00144	0.0604	0.833	0.472	0.00281951370127364	0.793886931369971	0.00211364359778153	0.0767226210350584	0.9956866689993	0.78563412633306	0.089	0.159
K11074: putrescine transport system permease protein	1.243	0.262	1.177	0.325	0.12	0.334	<2e-16	0.528	1.67e-15	6.33e-15	0.811	0.21	NA	0.822399181166837	6.84531313131313e-15	4.33904391891892e-14	0.9956866689993	0.472907880133185	0.62	0.661
K11075: putrescine transport system permease protein	1.224	0.28	1.112	0.461	0.029	0.118	<2e-16	0.217	1.67e-15	1.72e-14	0.333	0.657	NA	0.45297633744856	6.84531313131313e-15	9.80303370786517e-14	0.9956866689993	0.967382438316401	0.595	0.611
K11076: putrescine transport system ATP-binding protein	1.039	0.209	0.921	0.325	0.082	0.237	<2e-16	0.0588	1.67e-15	1.48e-14	0.415	0.101	NA	0.174678184480234	6.84531313131313e-15	8.68732883317261e-14	0.9956866689993	0.30018896484375	0.628	0.681
K11070: spermidine/putrescine transport system permease protein	1.812	0.287	1.65	0.269	0.169	0.422	<2e-16	0.0339	1.67e-15	1.67e-15	0.324	0.767	NA	0.116318658399098	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.743	0.749
K11071: spermidine/putrescine transport system permease protein	1.813	0.271	1.568	0.493	0.102	0.409	<2e-16	0.00303	1.67e-15	1.67e-15	0.728	1	NA	0.0204022234513274	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.708	0.708
K11072: spermidine/putrescine transport system ATP-binding protein	1.981	0.179	1.66	0.447	0.177	0.458	<2e-16	2.16e-06	1.67e-15	1.67e-15	0.317	1	NA	5.71648695652174e-05	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.791	0.791
K11073: putrescine transport system substrate-binding protein	1.046	0.289	0.91	0.419	0.079	0.27	<2e-16	0.115	1.23e-14	1.79e-13	0.268	0.144	NA	0.286066612178177	4.17336120401338e-14	6.26551466359977e-13	0.9956866689993	0.374264730999146	0.507	0.571
K06934	1.12	0.562	1.133	0.699	0.109	0.438	2.7e-11	0.993	5.1e-09	2.98e-07	0.932	0.00701	1.75830342577488e-10	1	1.06277644642246e-08	6.9075628332064e-07	0.9956866689993	0.0555597265625	0.291	0.459
K06937	0.565	0.354	0.528	0.426	0	0	1.33e-08	0.877	5.62e-08	1.21e-05	0.663	0.172	5.11499036608863e-08	1	1.10959909179371e-07	2.44937479215165e-05	0.9956866689993	0.415297104323681	0.238	0.331
K06931	0.057	0.091	0.036	0.055	0.002	0.008	0.00957	0.421	0.0307	0.374	0.48	0.365	0.0128414924369748	0.710065669160432	0.0386896273291925	0.416948351648352	0.9956866689993	0.67102234974328	0.069	0.13
K06933	0.978	0.616	1.064	0.655	0.1	0.399	3.08e-07	0.786	9.51e-07	3.69e-06	0.964	0.412	9.49448648648649e-07	1	1.74886314199396e-06	7.8288706866504e-06	0.998386055843504	0.723555683785343	0.198	0.255
K06939	0.663	0.514	0.636	0.539	0	0	3.76e-07	0.964	4.62e-06	0.000177	0.218	0.0941	1.13970539104024e-06	1	8.18688209606987e-06	0.000320273186682521	0.9956866689993	0.28812208249497	0.2	0.318
K05916: nitric oxide dioxygenase	0.31	0.405	0.475	0.508	0.137	0.375	0.0164	0.169	0.291	0.033	0.613	0.138	0.0211257825104873	0.380578246392897	0.320021138211382	0.0437532128076672	0.9956866689993	0.363796448679082	0.054	0.176
K05914	0.045	0.071	0.054	0.044	0	0	0.00352	0.812	0.0219	0.0195	0.373	6.91e-06	0.00513402995981001	1	0.0282127619047619	0.0268361971512548	0.9956866689993	0.000778910555555556	0.045	0.55
K05915	0.108	0.254	0.172	0.341	0	0	0.0814	0.488	0.277	0.0927	0.924	0.439	0.0939429893032668	0.786667372881356	0.305674220449601	0.1138549031477	0.9956866689993	0.751671729957806	0.034	0.084
K05912	0.186	0.146	0.175	0.114	0.011	0.038	1.3e-07	0.918	8.26e-06	0.000385	0.721	0.0352	4.3210657785179e-07	1	1.44147419724771e-05	0.000672066246056782	0.9956866689993	0.156054187909687	0.206	0.371
K05910: NADH peroxidase	0.254	0.112	0.202	0.128	0.004	0.014	3.4e-12	0.0763	1.4e-13	1.51e-07	0.373	1	2.82766666666667e-11	0.210916485013624	3.57608057070919e-13	3.57919392523364e-07	0.9956866689993	1	0.338	0.338
K05911: quinone-reactive Ni/Fe-hydrogenase	0.021	0.057	0.026	0.032	0	0	0.177	0.866	0.267	0.213	0.104	0.656	0.194812241521919	1	0.295388767720829	0.24686424219345	0.9956866689993	0.966611474219317	0.04	0.116
K05919: superoxide reductase	1.422	0.576	1.283	0.711	0.118	0.473	3.76e-12	0.52	6.74e-13	1.47e-08	0.359	0.283	3.09482886597938e-11	0.814943357363543	1.6738629130967e-12	3.69594795539033e-08	0.9956866689993	0.571729505476269	0.338	0.409
K00392: sulfite reductase (ferredoxin)	0.098	0.165	0.153	0.167	0.026	0.103	0.0212	0.23	0.216	0.03	0.034	0.172	0.0268157160963245	0.473456205613798	0.24235797235023	0.0400460526315789	0.9956866689993	0.415297104323681	0.075	0.188
K00391	0.024	0.033	0.113	0.36	0	0	0.0249	0.0296	0.837	0.067	0.161	1	0.0310918986549891	0.105923104056437	0.860320668693009	0.0844541312901222	0.9956866689993	1	0.064	0.064
K00390: phosphoadenosine phosphosulfate reductase	1.047	0.442	1.172	0.506	0.099	0.394	<2e-16	0.394	2.98e-12	9.34e-12	0.0467	9.7e-05	NA	0.680942078364566	7.24411341853035e-12	2.9065736196319e-11	0.9956866689993	0.0036522	0.389	0.606
K00397: anaerobic dimethyl sulfoxide reductase	0.091	0.224	0.071	0.239	0	0	0.0349	0.904	0.264	0.545	0.561	0.00793	0.0426709954058193	1	0.292335455703111	0.590182351894681	0.9956866689993	0.0598140148698885	0.047	0.275
K00395: adenylylsulfate reductase, subunit B	0.281	0.328	0.301	0.41	0	0	0.000725	0.956	0.00533	0.0114	0.471	0.0265	0.00120391014975042	1	0.00741062357240749	0.0162472020604074	0.9956866689993	0.131142682926829	0.097	0.277
K00394: adenylylsulfate reductase, subunit A	0.874	0.465	0.894	0.455	0	0	1.65e-10	0.975	3.46e-11	3.77e-09	0.487	0.308	9.14833333333333e-10	1	8.04162657502864e-11	9.9084585492228e-09	0.9956866689993	0.603216216216216	0.288	0.372
K01229: lactase-phlorizin hydrolase	0.1	0.112	0.138	0.15	0.066	0.186	0.19	0.362	0.594	0.184	0.437	1	0.208030718595721	0.647134801762115	0.62382298136646	0.215344741395885	0.9956866689993	1	0.027	0.027
K02430: DeoR family transcriptional regulator, L-fucose operon activator	0.455	0.354	0.493	0.369	0	0	9.72e-10	0.86	5.55e-06	2.39e-05	0.832	0.000454	4.61931428571429e-09	1	9.78362293657689e-06	4.6943949661181e-05	0.9956866689993	0.00921166	0.223	0.506
K04618: galactose oxidase	0.238	0.168	0.232	0.181	0.024	0.096	2.42e-07	0.985	1.17e-05	0.00028	0.851	0.000104	7.60081825334382e-07	1	2.02151291512915e-05	0.000497187864644107	0.9956866689993	0.00372381176470588	0.162	0.5
K01376	1.002	0.358	0.917	0.413	0.249	0.264	1.08e-11	0.511	5.11e-12	7.46e-08	0.285	0.215	7.79631103074141e-11	0.808120810600156	1.22991577698695e-11	1.80051625693894e-07	0.9956866689993	0.479906490649065	0.326	0.404
K01374: cathepsin O	0.047	0.119	0.063	0.18	0	0	0.346	0.838	0.353	0.259	0.117	0.342	0.364922589167767	1	0.383219368646335	0.295286195916838	0.9956866689993	0.644306406685237	0.03	0.104
K01375: cathepsin V	0.034	0.069	0.082	0.123	0.266	0.303	1.52e-08	0.187	1.12e-09	2.8e-05	0.427	0.463	5.76243114909782e-08	0.408567480258435	2.4038928067701e-09	5.46444373196537e-05	0.9956866689993	0.777671357615894	0.243	0.271
K01372: bleomycin hydrolase	2.014	0.307	1.754	0.463	0.457	0.653	<2e-16	0.00668	1.67e-15	2.41e-14	0.856	0.296	NA	0.0360151992914083	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.588807843137255	0.611	0.64
K01373: cathepsin F	0.053	0.1	0.072	0.114	0.085	0.156	0.548	0.681	0.524	0.93	0.262	0.329	0.564254836213567	0.944893321176203	0.554229018245004	0.952053481331988	0.9956866689993	0.628569679849341	0.017	0.084
K01371: cathepsin K	0.09	0.151	0.177	0.233	0.232	0.282	0.00945	0.0789	0.0157	0.625	0.523	0.416	0.0127060963287302	0.215752156334232	0.0206049805950841	0.669430758402252	0.9956866689993	0.727641379310345	0.069	0.115
K01224: arabinogalactan endo-1,4-beta-galactosidase	1.557	0.407	1.281	0.569	0.146	0.413	<2e-16	0.012	7.22e-15	5.91e-13	0.722	0.348	NA	0.0549203007518797	2.53742147806005e-14	2.00748716517857e-12	0.9956866689993	0.651376383763838	0.499	0.544
K01225: cellulose 1,4-beta-cellobiosidase	0.549	0.262	0.54	0.283	0.041	0.163	1.14e-12	0.985	5.06e-11	1.88e-08	0.18	0.0121	1.08096912114014e-11	1	1.166675e-10	4.69383100902379e-08	0.9956866689993	0.0772850996852046	0.334	0.487
K09145: hypothetical protein	0.242	0.385	0.277	0.424	0	0	0.0349	0.901	0.0443	0.0492	0.247	0.278	0.0426709954058193	1	0.0547521015228426	0.0631548713622944	0.9956866689993	0.565381222853324	0.054	0.13
K09144: hypothetical protein	1.048	0.432	0.979	0.663	0.074	0.297	1.06e-13	0.779	1.05e-11	3.06e-08	0.202	0.00898	1.40582059800664e-12	1	2.49467213114754e-11	7.55321167883212e-08	0.9956866689993	0.0636622018348624	0.359	0.516
K09141: hypothetical protein	0.29	0.412	0.315	0.47	0	0	0.0142	0.951	0.0215	0.034	0.111	0.731	0.018482686664493	1	0.0277209277695403	0.0449810910671593	0.9956866689993	1	0.074	0.105
K01226: trehalose-6-phosphate hydrolase	1.351	0.244	1.337	0.268	0.326	0.481	<2e-16	0.973	1.67e-15	1.21e-14	0.923	1	NA	1	6.84531313131313e-15	7.38743229689067e-14	0.9956866689993	1	0.564	0.564
K05879: dihydroxyacetone kinase, C-terminal domain	1.076	0.491	0.884	0.598	0	0	7.67e-14	0.164	5.79e-13	1.53e-07	0.626	0.00257	1.10536606498195e-12	0.372349123461395	1.4426414244781e-12	3.62236872812135e-07	0.9956866689993	0.0283912704174229	0.345	0.561
K05876: methyl-accepting chemotaxis protein III, ribose and galactose sensor	0.092	0.195	0.179	0.301	0	0	0.0018	0.134	0.242	0.0206	0.45	0.00041	0.00277650695517774	0.320116954474097	0.269543275388838	0.0282160666066607	0.9956866689993	0.00866552083333333	0.066	0.389
K05704: proto-oncogene tyrosine-protein kinase Src	0.012	0.054	0.117	0.184	0.237	0.202	1.88e-11	6.77e-05	2.79e-11	0.00247	0.0225	0.515	1.27418675721562e-10	0.00106208737113402	6.49932261768083e-11	0.00388197521301317	0.9956866689993	0.829532945223604	0.338	0.365
K00575: chemotaxis protein methyltransferase CheR	0.832	0.435	0.859	0.478	0.071	0.277	1.67e-10	0.956	2.78e-09	1.03e-07	0.352	0.0141	9.23357340720221e-10	1	5.85936980609418e-09	2.46932256794013e-07	0.9956866689993	0.0855699900299103	0.275	0.426
K00574: cyclopropane-fatty-acyl-phospholipid synthase	0.697	0.429	0.745	0.494	0.008	0.034	2.53e-08	0.852	3.54e-08	3.59e-07	0.941	0.405	9.28286764705882e-08	1	7.05104057591623e-08	8.27739772727273e-07	0.99649739039666	0.715390307603018	0.229	0.29
K00573: protein-L-isoaspartate(D-aspartate) O-methyltransferase	0.525	0.392	0.485	0.461	0.174	0.441	0.000338	0.896	0.00566	0.0461	0.815	0.016	0.000604252575011196	1	0.00785150865998177	0.0594766214497668	0.9956866689993	0.0936461538461539	0.108	0.277
K00571: site-specific DNA-methyltransferase (adenine-specific)	2.045	0.294	1.889	0.411	0.303	0.505	<2e-16	0.0949	1.67e-15	1.67e-15	0.939	0.0817	NA	0.247284375	6.84531313131313e-15	1.69988127090301e-14	0.996478578892372	0.262293196202532	0.72	0.761
K00570: phosphatidyl-N-methylethanolamine N-methyltransferase	0.092	0.141	0.084	0.1	0	0	0.00245	0.945	0.0201	0.0897	0.928	0.108	0.00369489988666415	1	0.0260205657167163	0.110460024276755	0.9956866689993	0.314092689918777	0.084	0.192
K04478: monofunctional glycosyltransferase	0.248	0.178	0.159	0.139	0.039	0.156	9.3e-06	0.04	2.92e-05	0.0641	0.27	0.101	2.21381037567084e-05	0.131326860841424	4.92219329825533e-05	0.0811178170478171	0.9956866689993	0.30018896484375	0.165	0.329
K04479: DNA polymerase IV (archaeal DinB-like DNA polymerase)	0.186	0.095	0.174	0.097	0.003	0.012	4.62e-12	0.812	2.06e-11	4.23e-08	0.679	0.115	3.68124550898204e-11	1	4.8264896073903e-11	1.03613722334004e-07	0.9956866689993	0.326799719887955	0.324	0.448
K04437: filamin	0.033	0.125	0.151	0.232	0.362	0.374	1.43e-08	0.0123	6.36e-09	0.00159	0.459	0.903	5.45230181470869e-08	0.0558732089552239	1.31902282793867e-08	0.0025624384432089	0.9956866689993	1	0.242	0.248
K01112	1.493	0.323	1.442	0.442	0.489	0.63	1.19e-14	0.811	3.08e-14	3.21e-12	0.0529	1	2.48716230366492e-13	1	8.48839406207827e-14	1.03437109581789e-11	0.9956866689993	1	0.407	0.407
K01113: phosphodiesterase/alkaline phosphatase D	0.544	0.363	0.462	0.368	0.007	0.029	6.67e-11	0.51	1.44e-07	0.000136	0.743	0.000294	4.05893902439024e-10	0.807378413524057	2.77821870047544e-07	0.00024919686935581	0.9956866689993	0.00707343083003953	0.265	0.551
K01111: 2-deoxyglucose-6-phosphatase	0.276	0.271	0.251	0.304	0	0	1.02e-05	0.896	0.000442	0.00778	0.219	0.000377	2.40794795978711e-05	1	0.000679579186663299	0.0113674651944311	0.9956866689993	0.00813758510638298	0.13	0.467
K01114: phospholipase C	0.254	0.28	0.317	0.361	0.121	0.328	0.0585	0.598	0.233	0.0997	0.562	0.0897	0.0688073070123748	0.883715950473416	0.260137747615554	0.121764426163724	0.9956866689993	0.280002	0.038	0.168
K01115: phospholipase D	0.126	0.24	0.247	0.335	0.007	0.02	0.00128	0.0623	0.184	0.00706	0.336	0.0593	0.00202046658758403	0.182142219020173	0.208761975768872	0.0103852634122765	0.9956866689993	0.21718357400722	0.081	0.289
K01155: type II restriction enzyme	1.842	0.261	1.632	0.443	0.259	0.588	<2e-16	0.0158	1.67e-15	2.78e-15	0.633	0.127	NA	0.0671141660851361	6.84531313131313e-15	2.26834584450402e-14	0.9956866689993	0.346658744394619	0.675	0.711
K08083: two-component system, LytT family, response regulator AlgR	1.193	0.264	1.264	0.225	0.115	0.315	<2e-16	0.416	1.67e-15	1.67e-15	0.7	0.42	NA	0.704169076751947	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.730231362467866	0.644	0.676
K08082: two-component system, LytT family, sensor histidine kinase AlgZ	0.727	0.263	0.642	0.391	0.043	0.123	5.17e-16	0.338	3.54e-14	1.13e-09	0.924	0.02	4.66022608695652e-14	0.619700602409639	9.46747803163445e-14	3.0803000447828e-09	0.9956866689993	0.109478417266187	0.42	0.535
K08081: tropine dehydrogenase	0.44	0.2	0.363	0.198	0.053	0.212	1.86e-10	0.178	1.63e-10	7.93e-06	0.695	0.216	1.01574829001368e-09	0.393279854809437	3.64370547190599e-10	1.63349949238579e-05	0.9956866689993	0.480728336380256	0.294	0.359
K01152: type I restriction enzyme	0.592	0.252	0.449	0.331	0.045	0.18	1.07e-11	0.0332	6.16e-12	7.51e-06	0.257	0.116	7.73811594202898e-11	0.114757751277683	1.47738061465721e-11	1.55118323719036e-05	0.9956866689993	0.328720670391061	0.33	0.416
K01153: type I restriction enzyme, R subunit	2.1	0.263	2.018	0.243	0.302	0.599	<2e-16	0.446	1.67e-15	1.67e-15	0.559	0.303	NA	0.742154729360306	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.597460641399417	0.762	0.779
K06346: spoIIIJ-associated protein	1.554	0.422	1.591	0.36	0.18	0.493	<2e-16	0.912	4.11e-15	2.25e-14	0.402	0.178	NA	1	1.50345973557692e-14	1.1888671875e-13	0.9956866689993	0.424729909839279	0.534	0.608
K09824: hypothetical protein	0.359	0.476	0.355	0.476	0	0	0.00126	0.999	0.00963	0.0335	0.107	0.00912	0.00199283676703645	1	0.0130059485245174	0.0443774755168662	0.9956866689993	0.0636622018348624	0.098	0.298
K03234: elongation factor EF-2	0.393	0.263	0.401	0.311	0.26	0.351	0.13	0.992	0.194	0.258	0.994	0.371	0.146021384355656	1	0.219208836086876	0.294421822272216	0.999103431210822	0.677144527736132	0.029	0.091
K09825: Fur family transcriptional regulator, peroxide stress response	1.811	0.367	1.526	0.67	0.112	0.448	<2e-16	0.0102	1.67e-15	2.96e-14	0.291	1	NA	0.0493148530579825	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	1	0.582	0.582
K09823: Fur family transcriptional regulator, zinc uptake regulator	0.295	0.407	0.435	0.578	0	0	0.000979	0.273	0.0302	0.00394	0.613	0.0517	0.00158353646677472	0.5348410041841	0.0380831572405221	0.00602885369532428	0.9956866689993	0.198547570977918	0.088	0.238
K01158: deoxyribonuclease II	0.04	0.13	0.054	0.23	0	0	0.534	0.894	0.582	0.478	0.762	0.74	0.550265358802272	1	0.612065307532826	0.522461124079727	0.9956866689993	1	0.009	0.041
K10754: replication factor C subunit 1	0.127	0.104	0.11	0.115	0.152	0.333	0.667	0.85	0.813	0.642	0.626	1	0.682034836065574	1	0.837207071561496	0.686552002810963	0.9956866689993	1	0.007	0.007
K10755: replication factor C subunit 2/4	0.079	0.187	0.218	0.409	0.219	0.471	0.0292	0.0593	0.162	1	0.135	0.907	0.0360328902627512	0.17556376459144	0.185460598081625	1	0.9956866689993	1	0.064	0.071
K02133: F-type H+-transporting ATPase subunit beta	1.193	0.193	0.992	0.334	0.208	0.291	<2e-16	0.000403	1.67e-15	2.56e-14	0.956	1	NA	0.00451760773480663	6.84531313131313e-15	1.24061143984221e-13	0.998386055843504	1	0.624	0.624
K02132: F-type H+-transporting ATPase subunit alpha	1.042	0.141	0.85	0.292	0.273	0.504	<2e-16	0.000831	6.33e-15	9.51e-12	0.578	1	NA	0.00799099052132701	2.24276542491269e-14	2.95645403472932e-11	0.9956866689993	1	0.502	0.502
K02134: F-type H+-transporting ATPase subunit delta	0.058	0.167	0.02	0.043	0.373	0.669	4.43e-05	0.775	4.25e-05	8.29e-05	0.35	1	9.29299001576458e-05	1	7.08372124863089e-05	0.000154884069981584	0.9956866689993	1	0.141	0.141
K02137: F-type H+-transporting ATPase oligomycin sensitivity conferral	0.175	0.227	0.168	0.257	0.002	0.007	0.00032	0.989	0.0122	0.0472	0.538	0.0214	0.000575423423423424	1	0.0162426509186352	0.0608055873015873	0.9956866689993	0.114164592462752	0.109	0.273
K02136: F-type H+-transporting ATPase subunit gamma	0.225	0.186	0.22	0.312	0.081	0.323	0.0827	0.995	0.0604	0.141	0.771	0.787	0.0952780375180375	1	0.0729329101368776	0.167695779601407	0.9956866689993	1	0.035	0.052
K03843: alpha-1,3/alpha-1,6-mannosyltransferase	0.261	0.278	0.248	0.299	0	0	2.21e-05	0.97	0.00112	0.00982	0.142	0.0169	4.86883002207506e-05	1	0.00165713174526009	0.014137734153264	0.9956866689993	0.0970474528301887	0.148	0.333
K03840: flavodoxin II	0.891	0.386	0.761	0.497	0.078	0.312	3.63e-12	0.293	2.45e-11	8.58e-07	0.502	0.0374	3.00019875776398e-11	0.560669915121031	5.72042577675489e-11	1.91938478500551e-06	0.9956866689993	0.161915931721195	0.333	0.454
K03841: fructose-1,6-bisphosphatase I	0.509	0.487	0.489	0.53	0.326	0.584	0.0854	0.981	0.378	0.566	0.651	0.003	0.0981055539568345	1	0.408610548748002	0.610641970932293	0.9956866689993	0.0316481802426343	0.033	0.273
K03845: alpha-1,3-mannosyltransferase	0.019	0.114	0.034	0.158	0.142	0.392	0.0374	0.922	0.027	0.121	0.757	1	0.0453663931935582	1	0.0343108559498956	0.145415004935834	0.9956866689993	1	0.046	0.046
