Strain	BioProject	Genes	Proteins	Size-Mb	GC	16S count	Mean 16S similarity	Bioproject	species	genus	family	order	class	phylum	
Microlunatus phosphovorus NM-1	PRJNA68055	5392	5338	5.6831	67.3	1	n.d.	bio68055	Microlunatus phosphovorus	Microlunatus	Propionibacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Micromonospora aurantiaca ATCC 27029	PRJNA42501	6361	6222	7.0256	72.8	3	99.74	bio42501	Micromonospora aurantiaca	Micromonospora	Micromonosporaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mobiluncus curtisii ATCC 43063	PRJNA49695	1966	1909	2.1465	55.4	2	100.00	bio49695	Mobiluncus curtisii	Mobiluncus	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Moorella thermoacetica ATCC 39073	PRJNA58051	2613	2463	2.6288	55.8	1	n.d.	bio58051	Moorella thermoacetica	Moorella	Thermoanaerobacteraceae	Thermoanaerobacterales	Clostridia	Firmicutes	
Moraxella catarrhalis RH4	PRJNA48809	1964	1886	1.8633	41.7	4	99.83	bio48809	Moraxella catarrhalis	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	
Mucilaginibacter paludis DSM 18603	PRJNA60581	7236	7006	8.4100	21.4492	4	99.54	bio60581	Mucilaginibacter paludis	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	
Muricauda ruestringensis DSM 13258	PRJNA72479	3525	3432	3.8424	41.4	2	99.67	bio72479	Muricauda ruestringensis	Muricauda	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	
Mycobacterium abscessus ATCC 19977	PRJNA61613	4991	4941	5.0905	64.1174	1	n.d.	bio61613	Mycobacterium abscessus	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium africanum GM041182	PRJNA68839	3983	3830	4.3893	65.6	1	n.d.	bio68839	Mycobacterium africanum	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium avium 104	PRJNA57693	5313	5120	5.4755	69	1	n.d.	bio57693	Mycobacterium avium	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium avium subsp. paratuberculosis K-10	PRJNA57699	4399	4350	4.8298	69.3	1	n.d.	bio57699	Mycobacterium avium	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium bovis AF2122/97	PRJNA57695	4001	3918	4.3455	65.6	1	n.d.	bio57695	Mycobacterium bovis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium bovis BCG str. Mexico	PRJNA86889	4031	3952	4.3504	65.7	1	n.d.	bio86889	Mycobacterium bovis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium bovis BCG str. Pasteur 1173P2	PRJNA58781	4033	3949	4.3745	65.6	1	n.d.	bio58781	Mycobacterium bovis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium bovis BCG str. Tokyo 172	PRJNA59281	4027	3944	4.3717	65.6	1	n.d.	bio59281	Mycobacterium bovis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium canettii CIPT 140010059	PRJNA70731	3982	3861	4.4821	65.6	1	n.d.	bio70731	Mycobacterium canettii	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium gilvum PYR-GCK	PRJNA59421	5669	5579	5.9828	67.7265	2	99.67	bio59421	Mycobacterium gilvum	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium gilvum Spyr1	PRJNA61403	5552	5349	5.7833	67.8018	2	99.67	bio61403	Mycobacterium gilvum	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium intracellulare MOTT-02	PRJNA89387	5198	5149	5.4097	68.1	1	n.d.	bio89387	Mycobacterium intracellulare	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium intracellulare MOTT-64	PRJNA89385	5297	5249	5.5011	68.1	1	n.d.	bio89385	Mycobacterium intracellulare	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium leprae Br4923	PRJNA59293	2770	1604	3.2681	57.8	1	n.d.	bio59293	Mycobacterium leprae	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium leprae TN	PRJNA57697	2770	1605	3.2682	57.8	1	n.d.	bio57697	Mycobacterium leprae	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium marinum M	PRJNA59423	5570	5452	6.6602	65.7077	1	n.d.	bio59423	Mycobacterium marinum	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium rhodesiae NBB3	PRJNA75107	6336	6147	6.4157	65.5	2	100.00	bio75107	Mycobacterium rhodesiae	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium smegmatis str. MC2 155	PRJNA57701	6938	6717	6.9882	67.4	2	100.00	bio57701	Mycobacterium smegmatis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis BTB05-552	PRJNA51871	-	-	4.3497	65.4	1	n.d.	bio51871	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis BTB05-559	PRJNA51873	-	-	4.3313	65.3	1	n.d.	bio51873	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis CCDC5079	PRJNA19585	3696	3647	4.3988	65.6	1	n.d.	bio19585	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis CCDC5180	PRJNA19583	3639	3591	4.4060	65.6	1	n.d.	bio19583	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis CDC1551	PRJNA57775	4293	4189	4.4038	65.6	1	n.d.	bio57775	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis CTRI-2	PRJNA43171	4003	3946	4.3985	65.6	1	n.d.	bio43171	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis F11	PRJNA58417	3998	3941	4.4244	65.6	1	n.d.	bio58417	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis H37Ra	PRJNA58853	4084	4034	4.4200	65.6	1	n.d.	bio58853	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis H37Rv	PRJNA57777	4062	4003	4.4115	65.6	1	n.d.	bio57777	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis HN878	PRJNA46665	-	-	4.3318	65.4	1	n.d.	bio46665	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis KZN 1435	PRJNA59069	4107	4059	4.3983	65.6	1	n.d.	bio59069	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis KZN 4207	PRJNA83619	4043	3995	4.3950	65.6	1	n.d.	bio47493	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis KZN 4207	PRJNA47493	4191	4144	4.3840	65.6	1	n.d.	bio83619	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis KZN R506	PRJNA47489	4217	4170	4.3676	65.5	1	n.d.	bio47489	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis KZN V2475	PRJNA47491	4218	4171	4.3563	65.5	1	n.d.	bio47491	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis R1207	PRJNA46669	-	-	4.3451	65.4	1	n.d.	bio46669	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis RGTB327	PRJNA157907	3739	3691	4.3801	65.6	1	n.d.	bio15790	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis RGTB423	PRJNA73719	3670	3622	4.4066	65.6	1	n.d.	bio73719	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis S96-129	PRJNA51869	-	-	4.3232	65.3	1	n.d.	bio51869	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis UT205	PRJEA74573	3814	3796	4.4181	64.9	1	n.d.	bio74573	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium tuberculosis X122	PRJNA46667	-	-	4.3528	65.4	1	n.d.	bio46667	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium ulcerans Agy99	PRJNA62939	5038	4241	5.8058	65.419	1	n.d.	bio62939	Mycobacterium ulcerans	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycobacterium vanbaalenii PYR-1	PRJNA58463	6136	5979	6.4919	67.8	2	99.87	bio58463	Mycobacterium vanbaalenii	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Mycoplasma agalactiae	PRJNA46679	867	813	1.0067	29.6	2	100.00	bio46679	Mycoplasma agalactiae	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma agalactiae PG2	PRJNA61619	792	742	0.8774	29.7	2	99.54	bio61619	Mycoplasma agalactiae	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma arthritidis 158L3-1	PRJNA58005	671	631	0.8205	30.7	1	n.d.	bio58005	Mycoplasma arthritidis	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma bovis Hubei-1	PRJNA68691	839	801	0.9481	29.3	1	n.d.	bio68691	Mycoplasma bovis	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma bovis PG45	PRJNA60859	868	765	1.0034	29.3	2	99.81	bio60859	Mycoplasma bovis	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma capricolum subsp. capricolum ATCC 27343	PRJNA58525	867	812	1.0100	23.8	2	99.81	bio58525	Mycoplasma capricolum	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma capricolum subsp. capripneumoniae M1601	PRJNA60247	-	-	1.0162	23.6	2	99.67	bio60247	Mycoplasma capricolum	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma conjunctivae HRC/581	PRJNA59325	728	692	0.8462	28.6	1	n.d.	bio59325	Mycoplasma conjunctivae	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma crocodyli MP145	PRJNA47087	763	689	0.9344	27	2	100.00	bio47087	Mycoplasma crocodyli	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma fermentans JER	PRJNA53543	866	797	0.9775	26.9	2	99.87	bio53543	Mycoplasma fermentans	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma fermentans M64	PRJNA62099	1108	1050	1.1188	26.9	2	99.93	bio62099	Mycoplasma fermentans	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma fermentans PG18	PRJDA28473	893	893	1.0040	26.9	1	n.d.	bio28473	Mycoplasma fermentans	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma gallisepticum str. F	PRJNA43301	810	756	0.9776	31.4	2	99.87	bio43301	Mycoplasma gallisepticum	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma gallisepticum str. R(high)	PRJNA43299	820	766	1.0120	31.5	2	99.47	bio43299	Mycoplasma gallisepticum	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma gallisepticum str. R(low)	PRJNA57993	817	763	1.0128	31.5	2	99.47	bio57993	Mycoplasma gallisepticum	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma genitalium G37	PRJNA57707	524	475	0.5801	31.7	1	n.d.	bio57707	Mycoplasma genitalium	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma haemocanis str. Illinois	PRJNA82367	1191	1156	0.9200	35.3	1	n.d.	bio82367	Mycoplasma haemocanis	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma haemofelis Ohio2	PRJNA50029	1583	1524	1.1559	38.8	1	n.d.	bio50029	Mycoplasma haemofelis	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma haemofelis str. Langford 1	PRJNA62461	1580	1545	1.1473	38.9	1	n.d.	bio62461	Mycoplasma haemofelis	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma hominis	PRJNA41875	577	523	0.6654	27.1	2	100.00	bio41875	Mycoplasma hominis	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma hyorhinis GDL-1	PRJNA87003	741	647	0.8375	25.9	1	n.d.	bio87003	Mycoplasma hyorhinis	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma hyorhinis HUB-1	PRJNA51695	711	658	0.8396	25.9	1	n.d.	bio51695	Mycoplasma hyorhinis	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma hyorhinis MCLD	PRJNA61173	811	778	0.8297	25.9	1	n.d.	bio61173	Mycoplasma hyorhinis	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma leachii 99/014/6	PRJEA50599	940	905	1.0172	23.7	2	100.00	bio50599	Mycoplasma leachii	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma leachii PG50	PRJNA60849	925	882	1.0090	23.8	2	99.87	bio60849	Mycoplasma leachii	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma mobile 163K	PRJNA58077	667	633	0.7771	25	1	n.d.	bio58077	Mycoplasma mobile	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma mycoides subsp. capri LC str. 95010	PRJNA66189	962	924	1.1577	23.8172	2	99.93	bio66189	Mycoplasma mycoides	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma mycoides subsp. capri str. GM12	PRJNA19245	911	832	1.0892	23.9	2	99.81	bio19245	Mycoplasma mycoides	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma mycoides subsp. capri str. GM12	PRJNA39245	908	830	1.0846	23.9	2	99.81	bio39245	Mycoplasma mycoides	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma mycoides subsp. mycoides SC str. Gladysdale	PRJNA27713	1136	1095	1.1938	24	2	99.47	bio27713	Mycoplasma mycoides	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma mycoides subsp. mycoides SC str. PG1	PRJNA58031	1053	1017	1.2117	24	2	99.34	bio58031	Mycoplasma mycoides	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma penetrans HF-2	PRJNA57729	1069	1037	1.3586	25.7	1	n.d.	bio57729	Mycoplasma penetrans	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma pneumoniae 309	PRJNA85495	750	707	0.8172	40	1	n.d.	bio85495	Mycoplasma pneumoniae	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma pneumoniae FH	PRJNA49525	799	629	0.8111	40	1	n.d.	bio49525	Mycoplasma pneumoniae	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma pneumoniae M129	PRJNA57709	733	689	0.8164	40	1	n.d.	bio57709	Mycoplasma pneumoniae	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma pulmonis UAB CTIP	PRJNA61569	813	782	0.9639	26.6	1	n.d.	bio61569	Mycoplasma pulmonis	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma putrefaciens KS1	PRJNA72481	725	650	0.8326	26.9	2	99.94	bio72481	Mycoplasma putrefaciens	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Mycoplasma synoviae 53	PRJNA58061	715	659	0.7995	28.5	2	99.93	bio58061	Mycoplasma synoviae	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	
Myroides odoratus DSM 2801	PRJNA82721	3892	3754	4.2965	35.8	1	n.d.	bio82721	Myroides odoratus	Myroides	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	
Myxococcus fulvus HW-1	PRJNA68443	7362	7284	9.0036	70.6	3	99.78	bio68443	Myxococcus fulvus	Myxococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	
Myxococcus xanthus DK 1622	PRJNA58003	7441	7316	9.1398	68.9	4	99.78	bio58003	Myxococcus xanthus	Myxococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	
Nakamurella multipartita DSM 44233	PRJNA59221	5456	5240	6.0603	70.9	2	100.00	bio59221	Nakamurella multipartita	Nakamurella	Nakamurellaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Natranaerobius thermophilus JW/NM-WN-LF	PRJNA59001	3024	2906	3.1915	36.287	4	99.73	bio59001	Natranaerobius thermophilus	Natranaerobius	Natranaerobiaceae	Natranaerobiales	Clostridia	Firmicutes	
Nautilia profundicola AmH	PRJNA59345	1796	1730	1.6764	33.5	4	99.78	bio59345	Nautilia profundicola	Nautilia	Nautiliaceae	Nautiliales	Epsilonproteobacteria	Proteobacteria	
Neisseria gonorrhoeae FA 1090	PRJNA57611	2069	2002	2.1539	52.7	4	100.00	bio57611	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria gonorrhoeae NCCP11945	PRJNA59191	2747	2680	2.2362	52.3983	4	99.84	bio59191	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria gonorrhoeae TCDC-NG08107	PRJNA61377	2254	2196	2.1939	52.5306	4	99.84	bio61377	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria lactamica 020-06	PRJNA60851	2093	1972	2.2206	52.3	4	99.84	bio60851	Neisseria lactamica	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria meningitidis 053442	PRJNA58587	2122	2020	2.1534	51.7	4	99.69	bio58587	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria meningitidis 8013	PRJEA34687	2206	1913	2.2776	51.4	4	99.80	bio34687	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria meningitidis alpha14	PRJNA61649	1996	1872	2.1453	51.9	4	99.84	bio61649	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria meningitidis alpha710	PRJNA36319	2132	2017	2.2430	51.7	4	99.79	bio36319	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria meningitidis FAM18	PRJNA57825	2046	1917	2.1950	51.6	4	99.67	bio57825	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria meningitidis G2136	PRJNA61085	2045	1928	2.1849	51.7	4	99.80	bio61085	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria meningitidis H44/76	PRJNA61079	2097	1961	2.2409	51.4	4	99.84	bio61079	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria meningitidis M01-240149	PRJNA61069	2057	1936	2.2235	51.4	4	99.80	bio61069	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria meningitidis M01-240355	PRJNA61063	2094	1971	2.2878	51.5	4	99.79	bio61063	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria meningitidis M04-240196	PRJNA61073	2094	1947	2.2505	51.4	4	99.78	bio61073	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria meningitidis MC58	PRJNA57817	2225	2063	2.2724	51.5	4	99.79	bio57817	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria meningitidis NZ-05/33	PRJNA61065	2085	1948	2.2490	51.3	4	99.79	bio61065	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria meningitidis WUE 2594	PRJEA61527	2137	1941	2.2273	51.8	4	99.55	bio61527	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neisseria meningitidis Z2491	PRJNA57819	2065	1909	2.1844	51.8	4	99.84	bio57819	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Neorickettsia risticii str. Illinois	PRJNA58889	930	892	0.8800	41.3	1	n.d.	bio58889	Neorickettsia risticii	Neorickettsia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	
Neorickettsia sennetsu str. Miyayama	PRJNA57965	973	932	0.8590	41.1	1	n.d.	bio57965	Neorickettsia sennetsu	Neorickettsia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	
Niastella koreensis GR20-10	PRJNA83125	7444	7174	9.0337	44.9	3	99.65	bio83125	Niastella koreensis	Niastella	Chitinophagaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	
Nitratifractor salsuginis DSM 16511	PRJNA62183	2173	2088	2.1013	53.9	2	100.00	bio62183	Nitratifractor salsuginis	Nitratifractor	other Epsilonproteobacteria	other Epsilonproteobacteria	Epsilonproteobacteria	Proteobacteria	
Nitrobacter hamburgensis X14	PRJNA58293	4740	4326	5.0115	61.6047	1	n.d.	bio58293	Nitrobacter hamburgensis	Nitrobacter	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Nitrobacter winogradskyi Nb-255	PRJNA58295	3198	3122	3.4021	62	1	n.d.	bio58295	Nitrobacter winogradskyi	Nitrobacter	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Nitrosococcus halophilus Nc4	PRJNA46803	4087	3817	4.1453	51.6222	2	99.81	bio46803	Nitrosococcus halophilus	Nitrosococcus	Chromatiaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	
Nitrosococcus oceani ATCC 19707	PRJNA58403	3185	3017	3.5221	50.3241	2	99.68	bio58403	Nitrosococcus oceani	Nitrosococcus	Chromatiaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	
Nitrosococcus watsonii C-113	PRJNA50331	3245	2907	3.3733	50.1211	2	99.87	bio50331	Nitrosococcus watsonii	Nitrosococcus	Chromatiaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	
